blancos,desCandidatura,codDepartamento,desZona,desDistrito,desDepartamento,nulos,orden,totProg,codEleccion,desPartido,votos,codZona,codLocal,numMesa,sigPartido,codDistrito,idLista,desLocal,numLista
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,9,4,137,18,MOVIMIENTO NACIONAL ARTISTAS DEL PARAGUAY,3,1,1,3,MNAP,0,4,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,15
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,9,5,137,18,MOVIMIENTO SOBERANIA NACIONAL,1,1,1,3,SN,0,5,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,22
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,9,6,137,18,PARTIDO VERDE PARAGUAY,2,1,1,3,PVP,0,6,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,23
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,9,7,137,18,MOVIMIENTO RESERVA PATRIOTICA,3,1,1,3,MRP,0,7,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,30
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,9,8,137,18,PARTIDO SOCIALISTA DEMOCRATICO HEREDEROS,0,1,1,3,PSDH,0,8,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,45
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,9,9,137,18,PARTIDO DEL MOVIMIENTO PATRIOTICO POPULAR,0,1,1,3,PMPP,0,9,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,50
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,9,10,137,18,MOVIMIENTO CIVICO NACIONAL UNAMONOS,0,1,1,3,UNAMONOS,0,10,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,60
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,8,1,131,18,PARTIDO COLORADO,64,1,1,4,ANR,0,1,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,1
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,8,2,131,18,ALIANZA GANAR,49,1,1,4,GANAR,0,2,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,5
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,8,3,131,18,PARTIDO FRENTE AMPLIO,2,1,1,4,PFA,0,3,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,12
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,8,4,131,18,MOVIMIENTO NACIONAL ARTISTAS DEL PARAGUAY,2,1,1,4,MNAP,0,4,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,15
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,8,5,131,18,MOVIMIENTO SOBERANIA NACIONAL,1,1,1,4,SN,0,5,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,22
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,8,6,131,18,PARTIDO VERDE PARAGUAY,4,1,1,4,PVP,0,6,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,23
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,8,7,131,18,MOVIMIENTO RESERVA PATRIOTICA,0,1,1,4,MRP,0,7,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,30
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,8,8,131,18,PARTIDO SOCIALISTA DEMOCRATICO HEREDEROS,0,1,1,4,PSDH,0,8,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,45
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,8,9,131,18,PARTIDO DEL MOVIMIENTO PATRIOTICO POPULAR,1,1,1,4,PMPP,0,9,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,50
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,8,10,131,18,MOVIMIENTO CIVICO NACIONAL UNAMONOS,0,1,1,4,UNAMONOS,0,10,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,60
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,1,139,18,PARTIDO COLORADO,82,1,1,6,ANR,0,1,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,1
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,2,139,18,ALIANZA GANAR,39,1,1,6,GANAR,0,2,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,5
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,3,139,18,PARTIDO FRENTE AMPLIO,1,1,1,6,PFA,0,3,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,12
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,4,139,18,MOVIMIENTO NACIONAL ARTISTAS DEL PARAGUAY,0,1,1,6,MNAP,0,4,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,15
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,5,139,18,MOVIMIENTO SOBERANIA NACIONAL,1,1,1,6,SN,0,5,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,22
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,6,139,18,PARTIDO VERDE PARAGUAY,5,1,1,6,PVP,0,6,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,23
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,7,139,18,MOVIMIENTO RESERVA PATRIOTICA,0,1,1,6,MRP,0,7,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,30
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,8,139,18,PARTIDO SOCIALISTA DEMOCRATICO HEREDEROS,0,1,1,6,PSDH,0,8,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,45
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,9,139,18,PARTIDO DEL MOVIMIENTO PATRIOTICO POPULAR,1,1,1,6,PMPP,0,9,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,50
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,10,139,18,MOVIMIENTO CIVICO NACIONAL UNAMONOS,1,1,1,6,UNAMONOS,0,10,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,60
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,1,126,18,PARTIDO COLORADO,78,1,1,7,ANR,0,1,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,1
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,2,126,18,ALIANZA GANAR,32,1,1,7,GANAR,0,2,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,5
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,3,126,18,PARTIDO FRENTE AMPLIO,0,1,1,7,PFA,0,3,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,12
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,4,126,18,MOVIMIENTO NACIONAL ARTISTAS DEL PARAGUAY,1,1,1,7,MNAP,0,4,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,15
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,5,126,18,MOVIMIENTO SOBERANIA NACIONAL,2,1,1,7,SN,0,5,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,22
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,6,126,18,PARTIDO VERDE PARAGUAY,6,1,1,7,PVP,0,6,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,23
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,7,126,18,MOVIMIENTO RESERVA PATRIOTICA,1,1,1,7,MRP,0,7,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,30
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,8,126,18,PARTIDO SOCIALISTA DEMOCRATICO HEREDEROS,1,1,1,7,PSDH,0,8,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,45
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,9,126,18,PARTIDO DEL MOVIMIENTO PATRIOTICO POPULAR,2,1,1,7,PMPP,0,9,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,50
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,10,126,18,MOVIMIENTO CIVICO NACIONAL UNAMONOS,1,1,1,7,UNAMONOS,0,10,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,60
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,1,140,18,PARTIDO COLORADO,90,1,1,8,ANR,0,1,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,1
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,2,140,18,ALIANZA GANAR,31,1,1,8,GANAR,0,2,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,5
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,3,140,18,PARTIDO FRENTE AMPLIO,0,1,1,8,PFA,0,3,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,12
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,4,140,18,MOVIMIENTO NACIONAL ARTISTAS DEL PARAGUAY,1,1,1,8,MNAP,0,4,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,15
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,5,140,18,MOVIMIENTO SOBERANIA NACIONAL,1,1,1,8,SN,0,5,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,22
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,6,140,18,PARTIDO VERDE PARAGUAY,2,1,1,8,PVP,0,6,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,23
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,7,140,18,MOVIMIENTO RESERVA PATRIOTICA,5,1,1,8,MRP,0,7,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,30
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,8,140,18,PARTIDO SOCIALISTA DEMOCRATICO HEREDEROS,0,1,1,8,PSDH,0,8,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,45
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,9,140,18,PARTIDO DEL MOVIMIENTO PATRIOTICO POPULAR,1,1,1,8,PMPP,0,9,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,50
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,10,140,18,MOVIMIENTO CIVICO NACIONAL UNAMONOS,2,1,1,8,UNAMONOS,0,10,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,60
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,5,1,126,18,PARTIDO COLORADO,64,1,1,9,ANR,0,1,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,1
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,5,2,126,18,ALIANZA GANAR,43,1,1,9,GANAR,0,2,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,5
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,5,3,126,18,PARTIDO FRENTE AMPLIO,0,1,1,9,PFA,0,3,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,12
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,5,4,126,18,MOVIMIENTO NACIONAL ARTISTAS DEL PARAGUAY,3,1,1,9,MNAP,0,4,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,15
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,5,5,126,18,MOVIMIENTO SOBERANIA NACIONAL,0,1,1,9,SN,0,5,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,22
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,5,6,126,18,PARTIDO VERDE PARAGUAY,6,1,1,9,PVP,0,6,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,23
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,5,7,126,18,MOVIMIENTO RESERVA PATRIOTICA,1,1,1,9,MRP,0,7,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,30
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,5,8,126,18,PARTIDO SOCIALISTA DEMOCRATICO HEREDEROS,0,1,1,9,PSDH,0,8,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,45
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,5,9,126,18,PARTIDO DEL MOVIMIENTO PATRIOTICO POPULAR,1,1,1,9,PMPP,0,9,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,50
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,5,10,126,18,MOVIMIENTO CIVICO NACIONAL UNAMONOS,2,1,1,9,UNAMONOS,0,10,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,60
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,1,1,127,18,PARTIDO COLORADO,76,1,1,10,ANR,0,1,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,1
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,1,2,127,18,ALIANZA GANAR,34,1,1,10,GANAR,0,2,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,5
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,1,3,127,18,PARTIDO FRENTE AMPLIO,1,1,1,10,PFA,0,3,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,12
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,1,4,127,18,MOVIMIENTO NACIONAL ARTISTAS DEL PARAGUAY,2,1,1,10,MNAP,0,4,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,15
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,1,5,127,18,MOVIMIENTO SOBERANIA NACIONAL,0,1,1,10,SN,0,5,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,22
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,1,6,127,18,PARTIDO VERDE PARAGUAY,6,1,1,10,PVP,0,6,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,23
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,1,7,127,18,MOVIMIENTO RESERVA PATRIOTICA,1,1,1,10,MRP,0,7,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,30
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,1,8,127,18,PARTIDO SOCIALISTA DEMOCRATICO HEREDEROS,0,1,1,10,PSDH,0,8,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,45
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,1,9,127,18,PARTIDO DEL MOVIMIENTO PATRIOTICO POPULAR,4,1,1,10,PMPP,0,9,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,50
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,1,10,127,18,MOVIMIENTO CIVICO NACIONAL UNAMONOS,1,1,1,10,UNAMONOS,0,10,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,60
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,6,1,138,18,PARTIDO COLORADO,76,1,1,11,ANR,0,1,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,1
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,6,2,138,18,ALIANZA GANAR,44,1,1,11,GANAR,0,2,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,5
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,6,3,138,18,PARTIDO FRENTE AMPLIO,1,1,1,11,PFA,0,3,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,12
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,6,4,138,18,MOVIMIENTO NACIONAL ARTISTAS DEL PARAGUAY,2,1,1,11,MNAP,0,4,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,15
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,6,5,138,18,MOVIMIENTO SOBERANIA NACIONAL,0,1,1,11,SN,0,5,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,22
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,6,6,138,18,PARTIDO VERDE PARAGUAY,3,1,1,11,PVP,0,6,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,23
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,6,7,138,18,MOVIMIENTO RESERVA PATRIOTICA,2,1,1,11,MRP,0,7,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,30
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,6,8,138,18,PARTIDO SOCIALISTA DEMOCRATICO HEREDEROS,0,1,1,11,PSDH,0,8,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,45
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,6,9,138,18,PARTIDO DEL MOVIMIENTO PATRIOTICO POPULAR,2,1,1,11,PMPP,0,9,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,50
2,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,6,10,138,18,MOVIMIENTO CIVICO NACIONAL UNAMONOS,0,1,1,11,UNAMONOS,0,10,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,60
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,1,132,18,PARTIDO COLORADO,87,1,1,12,ANR,0,1,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,1
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,2,132,18,ALIANZA GANAR,31,1,1,12,GANAR,0,2,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,5
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,7,3,132,18,PARTIDO FRENTE AMPLIO,2,1,1,12,PFA,0,3,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,12
